EPOCH_TIME,TOTAL,DISINFECTED
1614093855.1285646,1,0
1614093859.1026998,2,0
1614093859.2099125,2,1
1614093960.816197,1,0
1614093964.83372,1,1
1614093966.0647216,2,1
1614093979.7217224,3,1
1614093989.5847893,4,1
1614094132.2525954,1,0
1614094136.2218978,1,1
1614094137.1338925,2,1
1614094149.4981413,3,1
1614094157.8326306,4,1
1614094196.412583,1,0
1614094200.3138707,1,1
1614094201.4979103,2,1
1614094213.348634,3,1
1614094221.718197,4,1
1614097353.4131157,1,0
1614097359.8091156,1,1
1614157769.0436945,1,0
1614157772.1526594,1,1
1614157774.9904509,2,1
1614157777.5244288,2,2
1614157874.518873,1,0
1614157878.144273,1,1
1614157883.957115,2,1
1614157890.6347942,2,2
1614157933.9058867,1,0
1614157937.7638483,1,1
1614157940.9588673,2,1
1614157941.084314,3,1
1614157943.4651515,3,2
1614158063.8614867,1,0
1614158116.5918913,1,0
1614158122.0854402,2,0
1614158122.0861402,2,1
1614159767.14669,1,0
1614159767.4638188,2,0
1614159773.0732334,3,0
1614159784.1807046,4,0
1614159786.941869,5,0
1614159790.274577,5,1
1614159792.7177758,6,1
1614169732.0995536,1,0
1614169734.5343928,1,1
1614169736.2307112,2,1
1614174049.7878551,1,0
1614174054.1388497,2,0
1614174105.3025205,1,0
1614174358.2203398,1,0
1614174360.6728685,1,1
1614174374.782324,2,1
